,,,,,,,,
,,,,,,,,
,,Date,Day of Week,Time,Event,Event Type,,Key
,,02/12/26,Thursday,5:30 PM,Club Night: Sophomore Welcome!,Members Only,,WW Movie Night
,,02/12/26,Thursday,7:30 PM,Post Club Night: Pizza Box,Members Only,,Club Night
,,02/14/26,Saturday,6:00 - 9:00 PM,Valentine's Day Semi-formals,Members Only,,Post Club Night
,,02/14/26,Saturday,9:00 - 11:30 PM,Semi-formals Afterparty,"List: Soph +1, Juniors/Seniors +2",,Night Out
,,02/16/26,Monday,8:30 - 9:30 PM,Cap Monday: Roblox + Mariuchi,Members Only,,Special Event
,,02/18/26,Wednesday,8:30 PM,WW Movie Night,Members Only,,Cap Monday
,,02/19/26,Thursday,6:00 PM,Club Night: Cap & Yellow,Members Only,,University Date
,,02/19/26,Thursday,7:30 PM,Post Club Night: Scavenger Hunt,Members Only,,Side Quest Saturday
,,02/21/26,Saturday,11:00 PM,Night Out: 90s Block Party,"List: Soph +1, Juniors/Seniors +2",,
,,02/23/26,Monday,8:30 - 9:30 PM,Cap Monday: Board Games + Snacks,Members Only,,
,,02/25/26,Wednesday,8:30 PM,WW Movie Night,Members Only,,
,,02/26/26,Thursday,6:00 PM,Club Night: Black & Gown,Members Only,,
,,02/26/26,Thursday,7:30 PM,Post Club Night: Talent Show,Members Only,,
,,02/28/26,Saturday,1:00 - 3:00 PM,Side Quest Saturday,Members Only,,
,,02/28/26,Saturday,11:00 PM,Night out: Afrobeats,"List: Soph +1, Juniors/Seniors +2",,
,,03/02/26,Monday,N/A,Midterms Start,N/A,,
,,03/02/26,Monday,8:30 - 9:30 PM,Cap Monday: Cookies,Members Only,,
,,03/04/26,Wednesday,8:30 PM,WW Movie Night,Members Only,,
,,03/05/26,Thursday,6:00 PM,Club Night: Cap & Kosher,Members Only,,
,,03/05/26,Thursday,7:30 PM,Post Club Night: Game Night,Members Only,,
,,03/05/26,Thursday,11:00 PM,Night Out: RnB,"PUID 11-12, List After",,P12
,,03/06/26,Friday,N/A ,Last Cap Meal Before Break,N/A,,
,,03/06/26,Friday,N/A,Midterms Stop,N/A,,
,,03/07/26,Saturday,N/A,Spring Break Starts,N/A,,
,,03/15/26,Sunday,N/A,Spring Break Ends,N/A,,
,,03/15/26,Sunday,N/A,Cap Opens With Dinner,N/A,,
,,03/16/26,Monday,8:30 - 9:30 PM,Cap Monday: Jackbox Games,Members Only,,
,,03/18/26,Wednesday,8:30 PM,WW Movie Night,Members Only,,
,,03/19/26,Thursday,6:00 PM,Club Night: Cap & Brown,Members Only,,
,,03/19/26,Thursday,7:30 PM,Post Club Night: Quiz,Members Only,,
,,03/21/26,Saturday,1:00 - 3:00 PM,"Side Quest Saturday, Ping Pong Tournament",Members Only,,
,,03/21/26,Saturday,11:00 PM,Affinity Night,"List: Soph +1, Juniors/Seniors +2",,
,,03/23/26,Monday,8:30 PM - 9:30 PM,Cap Monday: Smores,Members Only,,
,,03/25/26,Wednesday,8:30 PM,WW Movie Night,Members Only,,
,,03/26/26,Thursday,6:00 PM,Club Night: Latin y Gown,Members Only,,
,,03/26/26,Thursday,7:30 PM,Post Club Night: Pie an Officer,Members Only,,
,,03/28/26,Saturday,11:00 PM,Night Out: Latin Night,"List: Soph +1, Juniors/Seniors +2",,
,,03/30/26,Monday,8:30 - 9:30 PM,Cap Monday: Soup Bar,Members Only,,
,,04/01/26,Wednesday,8:30 PM,WW Movie Night,Members Only,,
,,04/02/26,Thursday,6:00 PM,Club Night: Queer & Gown,Members Only,,
,,04/02/26,Thursday,7:00:00 PM,Post Club Night: Battle Of The Bones,Members Only,,
,,04/04/26,Saturday,11:00 PM,Night Out: Pride Night Out,PUID,,
,,04/06/26,Monday,8:30 - 9:30 PM,Cap Monday: Easter Egg Hunt,Members Only,,
,,04/08/26,Wednesday,8:30 PM,WW Movie Night,Members Only,,
,,04/09/26,Thursday,6:00 PM,Club Night: Cap & Globe,Members Only,,
,,04/09/26,Thursday,7:30 PM,Post Club Night: AB vs BSE,Members Only,,
,,04/11/26,Saturday,11:00 PM,Night Out: Capchella,"List: Soph +1, Juniors/Seniors +2",,
,,04/13/26,Monday,8:30 - 9:30 PM,Cap Monday: Crumbl Cookies,Members Only,,
,,04/15/26,Wednesday,8:30 PM,WW Movie Night,Members Only,,
,,04/16/26,Thursday,N/A,Cap In The City,Juniors and Seniors,,
,,04/18/26,Saturday,7:30 PM,Cap Homecoming!,Members Only,,
,,04/18/26,Saturday,10:00 PM,Homecoming After Party,Members Only,,
,,04/19/26,Sunday,,MANDATORY Sophomore Spring Cleaning,Members Only,,
,,04/20/26,Monday,8:30 - 9:30 PM,Cap Monday: Build Your Own Nachos,Members Only,,
,,04/22/26,Wednesday,8:30 PM,WW Movie Night,Members Only,,
,,04/23/26,Thursday,6:00 PM,"Club Night: ""Gods and Gowns""",Members Only,,<-Biggest club night of the semester. Mark your calendars.
,,04/23/26,Thursday,7:30 PM,Post Club Night: Cap Olympus,Members Only,,
,,04/24/26,Friday,N/A,Last Day Of Classes,N/A,,
,,04/24/26,Friday,6:00 PM,Formals Dinner,Members Only,,
,,04/24/26,Friday,10:00 PM,Formals After Party,List: +1,,
,,04/25/26,Saturday,3:00 PM,Piccaso Picnic,List: +1,,
,,04/25/26,Saturday,5:00 PM,Cookout,List: +1,,
,,04/25/26,Saturday,9:00 PM,Semi-Formals,List: +1,,
,,04/26/26,Sunday,11:00 AM,Impressionist Brunch,List: +1,,
,,04/26/26,Sunday,N/A,Lawnparties,N/A,,
,,04/26/26,Sunday,,Officer Cookout,Members Only,,
,,04/27/26,Monday,N/A,Reading Period Begins,N/A,,
,,04/27/26,Monday,8:30 - 9:30 PM,Cap Monday: Cap Wedding,Members Only,,
,,04/29/26,Wednesday,8:30 PM,WW Movie Night,Members Only,,
,,04/30/26,Thursday,4:30 PM,Senior Sunset + Club Photo + Sleepover,Members Only,,
,,05/04/26,Monday,8:30,Cap Monday: Lock In.,Members Only,,
,,05/05/26,Tuesday,N/A,Reading Period Ends,N/A,,
,,05/05/26,Tuesday,11:00 PM,Warehouse Rave,"PUID 11-12, List After",,P12
,,05/06/26,Wednesday,8:30 PM,WW Movie Night,Members Only,,
,,05/08/26,Friday,N/A,Finals Week Begins,N/A,,
,,05/11/26,Monday,8:30 PM,Cap Monday: Senior Toast,Members Only,,
,,05/13/26,Wednesday,8:30 PM,WW Movie Night,Members Only,,
,,05/14/26,Thursday,N/A,Finals Week Ends,N/A,,
,,05/15/26,Friday,N/A,Cap Closes With Lunch,N/A,,